code,name,ward,lga,registered_voters
EB/212/02633/001,"Open Space 001","Abakaliki Ward 01","Abakaliki",1322
EB/212/02633/002,"Post Office 002","Abakaliki Ward 01","Abakaliki",1112
EB/212/02633/003,"Church Premises 003","Abakaliki Ward 01","Abakaliki",2196
EB/212/02633/004,"Dispensary 004","Abakaliki Ward 01","Abakaliki",2223
EB/212/02633/005,"Secondary School 005","Abakaliki Ward 01","Abakaliki",1122
EB/212/02633/006,"Market Square 006","Abakaliki Ward 01","Abakaliki",2436
EB/212/02633/007,"Police Station Area 007","Abakaliki Ward 01","Abakaliki",1507
EB/212/02633/008,"Secondary School 008","Abakaliki Ward 01","Abakaliki",1399
EB/212/02633/009,"Palace Grounds 009","Abakaliki Ward 01","Abakaliki",2060
EB/212/02633/010,"Civic Centre 010","Abakaliki Ward 01","Abakaliki",2073
EB/212/02633/011,"Open Space 011","Abakaliki Ward 01","Abakaliki",1578
EB/212/02633/012,"Police Station Area 012","Abakaliki Ward 01","Abakaliki",1290
EB/212/02633/013,"Playground 013","Abakaliki Ward 01","Abakaliki",2260
EB/212/02633/014,"Post Office 014","Abakaliki Ward 01","Abakaliki",836
EB/212/02633/015,"Secondary School 015","Abakaliki Ward 01","Abakaliki",1505
EB/212/02633/016,"Civic Centre 016","Abakaliki Ward 01","Abakaliki",1949
EB/212/02633/017,"Town Hall 017","Abakaliki Ward 01","Abakaliki",922
EB/212/02633/018,"Town Hall 018","Abakaliki Ward 01","Abakaliki",388
EB/212/02633/019,"Junction 019","Abakaliki Ward 01","Abakaliki",1669
EB/212/02633/020,"Junction 020","Abakaliki Ward 01","Abakaliki",562
EB/212/02633/021,"Community Centre 021","Abakaliki Ward 01","Abakaliki",934
EB/212/02634/001,"Under Tree 001","Abakaliki Ward 02","Abakaliki",793
EB/212/02634/002,"Junction 002","Abakaliki Ward 02","Abakaliki",554
EB/212/02634/003,"Community Hall 003","Abakaliki Ward 02","Abakaliki",1217
EB/212/02634/004,"Under Tree 004","Abakaliki Ward 02","Abakaliki",1261
EB/212/02634/005,"Civic Centre 005","Abakaliki Ward 02","Abakaliki",1217
EB/212/02634/006,"Primary School 006","Abakaliki Ward 02","Abakaliki",307
EB/212/02634/007,"Church Premises 007","Abakaliki Ward 02","Abakaliki",2069
EB/212/02634/008,"Civic Centre 008","Abakaliki Ward 02","Abakaliki",941
EB/212/02634/009,"Health Centre 009","Abakaliki Ward 02","Abakaliki",2124
EB/212/02634/010,"Custom Office 010","Abakaliki Ward 02","Abakaliki",1005
EB/212/02634/011,"Police Station Area 011","Abakaliki Ward 02","Abakaliki",392
EB/212/02634/012,"Motor Park 012","Abakaliki Ward 02","Abakaliki",1588
EB/212/02634/013,"Mosque Area 013","Abakaliki Ward 02","Abakaliki",1753
EB/212/02634/014,"Dispensary 014","Abakaliki Ward 02","Abakaliki",1410
EB/212/02634/015,"Custom Office 015","Abakaliki Ward 02","Abakaliki",989
EB/212/02634/016,"Junction 016","Abakaliki Ward 02","Abakaliki",602
EB/212/02634/017,"Community Centre 017","Abakaliki Ward 02","Abakaliki",1858
EB/212/02634/018,"Police Station Area 018","Abakaliki Ward 02","Abakaliki",818
EB/212/02634/019,"Community Hall 019","Abakaliki Ward 02","Abakaliki",1243
EB/212/02634/020,"Mosque Area 020","Abakaliki Ward 02","Abakaliki",1752
EB/212/02634/021,"Town Hall 021","Abakaliki Ward 02","Abakaliki",1862
EB/212/02635/001,"Village Square 001","Abakaliki Ward 03","Abakaliki",754
